height,length,speed,strip,target_deltatime,deltatime_with_pitch,deltatime_without_pitch,error_with_pitch,error_without_pitch,horizontal_resolution,vertical_resolution
400,434,150,0,2434175,2377292,1206056,-3,-159,157.0,61.0
400,434,150,1,2434175,2360828,1211196,-4,-158,157.0,61.0
400,434,150,2,2434175,2370288,1204880,-4,-160,157.0,61.0
400,434,150,3,2434175,2423472,1215656,0,-157,157.0,61.0
400,434,180,0,2022040,2363284,1205308,22,-106,157.0,61.0
400,434,180,1,2022040,2362264,1205416,22,-106,157.0,61.0
400,434,180,2,2022040,2376028,1204984,23,-106,157.0,61.0
400,434,180,3,2022040,2361832,1205188,22,-106,157.0,61.0
400,434,210,0,1737116,2360452,1204900,41,-69,157.0,61.0
400,434,210,1,1737116,2363096,1204900,41,-69,157.0,61.0
400,434,210,2,1737116,2367812,1211620,41,-68,157.0,61.0
400,434,210,3,1737116,2362976,1211728,41,-68,157.0,61.0
400,434,240,0,1516530,2363952,1212208,56,-39,157.0,61.0
400,434,240,1,1516530,2360444,1208100,56,-40,157.0,61.0
400,434,240,2,1516530,2367504,1204856,56,-40,157.0,61.0
400,434,240,3,1516530,2369732,1212728,56,-39,157.0,61.0
400,434,270,0,1350408,2376144,1216860,67,-17,157.0,61.0
400,434,270,1,1350408,2367540,1209564,67,-18,157.0,61.0
400,434,270,2,1350408,2366360,1204868,67,-18,157.0,61.0
400,434,270,3,1350408,2363184,1212708,67,-17,157.0,61.0
400,434,300,0,1213224,2360380,1215532,76,0,157.0,61.0
400,434,300,1,1213224,2366684,1204960,76,-1,157.0,61.0
400,434,300,2,1213224,2374720,1205116,76,-1,157.0,61.0
400,434,300,3,1213224,2362552,1212200,76,0,157.0,61.0
400,434,330,0,1104524,2364176,1204964,83,13,157.0,61.0
400,434,330,1,1104524,2367092,1204916,83,13,157.0,61.0
400,434,330,2,1104524,2374700,1205108,83,13,157.0,61.0
400,434,330,3,1104524,2360504,1212380,83,13,157.0,61.0
400,539,150,0,1619345,2370896,1214264,74,-78,236.0,76.0
400,539,150,1,1619345,2369924,1216284,74,-78,236.0,76.0
400,539,150,2,1619345,2387288,1208528,75,-80,236.0,76.0
400,539,150,3,1619345,2368664,1209044,74,-80,236.0,76.0
400,539,180,0,1345170,2370856,1215400,102,-25,236.0,76.0
400,539,180,1,1345170,2378756,1216328,102,-24,236.0,76.0
400,539,180,2,1345170,2386576,1208944,102,-26,236.0,76.0
400,539,180,3,1345170,2372260,1216412,102,-24,236.0,76.0
400,539,210,0,1155624,2386744,1215412,121,11,236.0,76.0
400,539,210,1,1155624,2368160,1208596,120,10,236.0,76.0
400,539,210,2,1155624,2386744,1223324,121,13,236.0,76.0
400,539,210,3,1155624,2376484,1215844,121,11,236.0,76.0
400,539,240,0,1008878,2371856,1208552,135,38,236.0,76.0
400,539,240,1,1008878,2371176,1215980,135,40,236.0,76.0
400,539,240,2,1008878,2366940,1208636,135,39,236.0,76.0
400,539,240,3,1008878,2379536,1208624,135,39,236.0,76.0
400,539,270,0,898364,2364116,1208576,146,60,236.0,76.0
400,539,270,1,898364,2370704,1215648,146,61,236.0,76.0
400,539,270,2,898364,2370812,1219944,146,62,236.0,76.0
400,539,270,3,898364,2371212,1214480,146,61,236.0,76.0
400,539,300,0,807102,2378512,1208500,155,78,236.0,76.0
400,539,300,1,807102,2366872,1216036,155,79,236.0,76.0
400,539,300,2,807102,2370796,1208488,155,78,236.0,76.0
400,539,300,3,807102,2372068,1215188,155,79,236.0,76.0
400,539,330,0,734789,2366600,1208492,162,92,236.0,76.0
400,539,330,1,734789,2371592,1215384,162,93,236.0,76.0
400,539,330,2,734789,2365976,1217004,162,93,236.0,76.0
400,539,330,3,734789,2369264,1215552,162,93,236.0,76.0
400,651,150,0,1269653,2382636,1212456,140,-14,301.0,92.0
400,651,150,1,1269653,2375220,1217116,140,-12,301.0,92.0
400,651,150,2,1269653,2383080,1217140,140,-12,301.0,92.0
400,651,150,3,1269653,2368848,1212468,139,-14,301.0,92.0
400,651,180,0,1054685,2375084,1225356,167,41,301.0,92.0
400,651,180,1,1054685,2389536,1212572,168,39,301.0,92.0
400,651,180,2,1054685,2382156,1219932,167,40,301.0,92.0
400,651,180,3,1054685,2382728,1213112,167,39,301.0,92.0
400,651,210,0,906070,2390096,1212440,186,76,301.0,92.0
400,651,210,1,906070,2375984,1221384,186,77,301.0,92.0
400,651,210,2,906070,2383256,1218476,186,77,301.0,92.0
400,651,210,3,906070,2391260,1220544,186,77,301.0,92.0
400,651,240,0,791014,2374568,1219752,200,105,301.0,92.0
400,651,240,1,791014,2367968,1214064,200,104,301.0,92.0
400,651,240,2,791014,2383296,1219928,201,105,301.0,92.0
400,651,240,3,791014,2376716,1220544,200,105,301.0,92.0
400,651,270,0,704365,2382644,1219716,212,127,301.0,92.0
400,651,270,1,704365,2368784,1213008,211,126,301.0,92.0
400,651,270,2,704365,2382992,1212428,212,126,301.0,92.0
400,651,270,3,704365,2367956,1219112,211,127,301.0,92.0
400,651,300,0,632811,2383636,1216888,221,144,301.0,92.0
400,651,300,1,632811,2382940,1213436,221,144,301.0,92.0
400,651,300,2,632811,2384452,1223828,221,145,301.0,92.0
400,651,300,3,632811,2375212,1219120,220,144,301.0,92.0
400,651,330,0,576114,2383248,1212464,228,157,301.0,92.0
400,651,330,1,576114,2390676,1219988,228,158,301.0,92.0
400,651,330,2,576114,2374676,1212864,227,158,301.0,92.0
400,651,330,3,576114,2367920,1212816,227,158,301.0,92.0
400,756,150,0,1073498,2384112,1223236,195,43,356.0,107.0
400,756,150,1,1073498,2422480,1231056,198,45,356.0,107.0
400,756,150,2,1073498,2376312,1216528,195,41,356.0,107.0
400,756,150,3,1073498,2378908,1223484,195,43,356.0,107.0
400,756,180,0,891742,2406888,1231992,224,98,356.0,107.0
400,756,180,0,891742,2406888,1231992,224,98,356.0,107.0
400,756,180,1,891742,2385840,1224540,222,96,356.0,107.0
400,756,180,1,891742,2385840,1224540,222,96,356.0,107.0
400,756,180,2,891742,2385524,1224596,222,96,356.0,107.0
400,756,180,2,891742,2385524,1224596,222,96,356.0,107.0
400,756,180,3,891742,2379776,1223156,222,96,356.0,107.0
400,756,180,3,891742,2379776,1223156,222,96,356.0,107.0
400,756,210,0,766087,2381040,1223916,241,133,356.0,107.0
400,756,210,0,766087,2381040,1223916,241,133,356.0,107.0
400,756,210,1,766087,2374112,1216184,241,131,356.0,107.0
400,756,210,1,766087,2374112,1216184,241,131,356.0,107.0
400,756,210,2,766087,2379108,1223364,241,133,356.0,107.0
400,756,210,2,766087,2379108,1223364,241,133,356.0,107.0
400,756,210,3,766087,2378300,1226700,241,133,356.0,107.0
400,756,210,3,766087,2378300,1226700,241,133,356.0,107.0
400,756,240,0,668806,2371616,1229460,255,162,356.0,107.0
400,756,240,0,668806,2371616,1229460,255,162,356.0,107.0
400,756,240,1,668806,2385804,1228608,256,162,356.0,107.0
400,756,240,1,668806,2385804,1228608,256,162,356.0,107.0
400,756,240,2,668806,2371820,1223144,255,161,356.0,107.0
400,756,240,2,668806,2371820,1223144,255,161,356.0,107.0
400,756,240,3,668806,2387144,1224396,256,161,356.0,107.0
400,756,240,3,668806,2387144,1224396,256,161,356.0,107.0
400,756,270,0,595545,2372000,1216052,266,181,356.0,107.0
